Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
Develop a program to remove invasive plants to avoid competition during extreme drought or wet periods.,"Drought,Flooding – Coastal,Flooding – General","Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife",Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Develop a protection plan and implement reinforcement measures for high-risk areas. (Strategy: Manage development in high-risk areas),Erosion and Shoreline Recession,Property,Planning & Management,Planning,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Develop a regional approach to monitoring conditions of dams and berms.,"Erosion and Shoreline Recession,Flooding – General,Flooding – Rainfall-induced",Water Infrastructure – Stormwater,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Develop a retrofit program to provide incentives for property owners to reduce their own risk. Low_interest capital and a potential reduction in insurance premiums are example incentives. Resilience improvements might include elevation, floodproofing, storm shutters or stormwater management efforts.",Flooding – General,"Multiple or All Assets,Property",Funding & Finance,Financing & Incentives,LA SAFE Regional Adaptation Strategy,https://s3.amazonaws.com/lasafe/Final+Adaptation+Strategies/Regional+Adaptation+Strategy.pdf,https://toolkit.climate.gov/case-studies/la-safe-regional-adaptation-strategy-1
Develop a sea level rise strategy for the community or region. Include the most recent sea level rise projections. Conduct a regular review of the strategy.,Flooding – Coastal,Multiple or All Assets,Capacity Building,"""Monitoring, Inspection and Maintenance""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Develop a spatial database of resilience projects for water infrastructure. Track the climate resilience projects being designed and built. ,"Water Quality,Flooding – General","Water Infrastructure – Drinking Water,Water Infrastructure – General,Water Infrastructure – Stormwater",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Develop a stormwater response plan to clear inlets and outlets before and during events. Ensure the document plans for having teams on stand-by.,"Flooding – General,Flooding – Rainfall-induced",Water Infrastructure – Stormwater,Planning & Management,Planning,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Develop a study to look at drought and expected water supply in the future (50 years) given new data since the WEAP Modeling effort,Drought,Water Infrastructure – General,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Develop a toilet retrofit program with an emphasis on serving low-income households. Such programs feature a rebate to customers that purchase and install a low flow toilet that uses 1.28 gallons per flush. Increasing water use efficiency can prevent or alleviate drought impacts.,Drought,"Water Infrastructure – Wastewater,Property",Funding & Finance,Financing & Incentives,"Phoenix, AZ Climate Action Plan",https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,https://toolkit.climate.gov/case-studies/phoenix-az-climate-action-plan-1
Develop a watershed plan to guide infrastructure and improvement projects. Watershed plans can influence zoning and prompt infrastructure evaluations and stream restoration. ,"Water Quality,Flooding – General,Flooding – Rainfall-induced","Aquatic and Marine Resources,Property,Water Infrastructure – Stormwater",Planning & Management,Planning,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Develop agreements with Uber and other ride share platform drivers to provide emergency egress and evacuation services to residents and community visitors vulnerable to road access issues.,"High Winds,Landslides,Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Partnerships & Collaboration,Partnerships,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Develop an adaptive management plan to address the long-term impacts of sea level rise.,Flooding – Coastal,"Transportation and Mobility,Multiple or All Assets",Planning & Management,Planning,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Develop an air quality mapping program at the neighborhood level.,Air Quality,People,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Columbus, OH Climate Action Plan",https://byrd.osu.edu/sites/byrd.osu.edu/files/CCCAP%20-%20FINAL_0.pdf,https://toolkit.climate.gov/case-studies/columbus-oh-climate-action-plan-0
Develop an ecosystem fire recovery master plan to address revegetation and post-fire treatments for open space and community parks. The plan could outline implementation actions for protecting and improving ecosystem health.,Wildfire,"Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife",Planning & Management,Planning,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Develop an education campaign to keep plastic out of waterways and lagoons. ,Water Quality,"Aquatic and Marine Resources,Natural Areas and Wildlife",Public Education & Outreach,Education,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Develop an educational campaign that encourages residents to weatherize their homes. Doing so will reduce heating and cooling bills, especially as high temperature days and nights become more common.","Severe Winter Weather,Extreme Heat","Energy and Utilities,Property",Public Education & Outreach,Community Engagement,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Develop an incentive program to convert fuelburning lawn equipment such as gas-powered lawn mowers and blowers to electric. ,Air Quality,People,Funding & Finance,Financing & Incentives,Ashland Climate and Energy Action Plan,https://ashlandor.org/wp-content/uploads/Ashland-Climate-and-Energy-Action-Plan_pages.pdf,https://toolkit.climate.gov/case-studies/ashland-climate-and-energy-action-plan
"Develop an ongoing buyouts program that would re-purpose properties at high-risk of sea level rise impacts. Use the land to support water management, drainage and absorption. ","Erosion and Shoreline Recession,Flooding – Coastal",Property,"""Managed Retreat, Relocation, & Buyout""",Buyouts,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Develop an open space acquisition, reuse and preservation program targeting flood hazard areas. ",Flooding – General,Property,"""Managed Retreat, Relocation, & Buyout""",Relocation,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Develop and adopt a cohesive regional stormwater ordinance. Include baseline best practices and the option for communities to go beyond minimum requirements.,"Flooding – General,Flooding – Rainfall-induced",Water Infrastructure – Stormwater,"""Policy, Codes, & Standards""",Building Codes,Miami Forever Climate Ready Strategy,https://www.miami.gov/My-Government/ClimateChange/Climate-Change-Action/MiamiForeverClimateReady,https://toolkit.climate.gov/case-studies/miami-forever-climate-ready-strategy-0
